,cluster
0,2
1,0
2,2
3,1
4,1
5,2
6,1
7,2
8,1
9,0
10,0
11,2
12,1
13,2
14,2
15,1
16,0
17,0
18,2
19,2
20,2
21,2
22,1
23,1
24,2
25,0
26,3
27,2
28,1
29,3
30,2
31,2
32,2
33,2
34,2
35,1
36,1
37,3
38,2
39,0
40,1
41,2
42,2
43,2
44,3
45,2
46,1
47,2
48,0
49,0
50,2
51,2
52,3
53,2
54,1
55,1
56,3
57,1
58,1
59,2
60,2
61,2
62,3
63,2
64,0
65,0
66,2
67,0
68,0
69,3
70,0
71,2
72,1
73,2
74,1
75,2
76,2
77,2
78,3
79,2
80,2
81,3
82,3
83,2
84,1
85,3
86,2
87,2
88,0
89,3
90,2
91,2
92,1
93,2
94,0
95,0
96,2
97,3
98,2
99,0
100,2
101,1
102,2
103,0
104,0
105,2
106,3
107,1
108,1
109,3
110,1
111,3
112,3
113,1
114,1
115,1
116,2
117,0
118,2
119,2
120,3
121,1
122,2
123,0
124,1
125,2
126,0
127,2
128,1
129,0
130,3
131,2
132,0
133,2
134,2
135,2
136,2
137,3
138,1
139,3
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,3
149,3
150,1
151,2
152,1
153,1
154,2
155,0
156,1
157,1
158,0
159,0
160,2
161,0
162,2
163,2
164,1
165,0
166,2
167,1
168,2
169,3
170,1
171,0
172,2
173,2
174,1
175,1
176,1
177,0
178,1
179,1
180,2
181,2
182,2
183,2
184,1
185,2
186,2
187,1
188,2
189,2
190,0
191,0
192,0
193,2
194,2
195,3
196,1
197,2
198,2
199,2
200,1
201,1
202,3
203,1
204,1
205,2
206,2
207,3
208,2
209,2
210,0
211,2
212,1
213,3
214,3
215,1
216,2
217,2
218,1
219,1
220,1
221,3
222,2
223,2
224,2
225,1
226,3
227,1
228,2
229,2
230,0
231,3
232,1
233,1
234,2
235,1
236,3
237,2
238,1
239,2
240,2
241,0
242,2
243,2
244,1
245,2
246,0
247,0
248,2
249,0
250,3
251,1
252,2
253,0
254,0
255,2
256,0
257,1
258,2
259,2
260,3
261,2
262,0
263,1
264,3
265,0
266,1
267,1
268,2
269,2
270,1
271,1
272,2
273,2
274,2
275,2
276,1
277,2
278,3
279,3
280,3
281,2
282,1
283,2
284,1
285,1
286,1
287,2
288,2
289,1
290,2
291,2
292,2
293,2
294,1
295,2
296,1
297,3
298,2
299,3
300,1
301,2
302,3
303,2
304,0
305,2
306,1
307,0
308,0
309,2
310,2
311,3
312,2
313,3
314,2
315,0
316,1
317,1
318,1
319,1
320,2
321,1
322,1
323,0
324,3
325,2
326,1
327,2
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,0
337,2
338,2
339,0
340,1
341,2
342,0
343,2
344,3
345,2
346,3
347,3
348,3
349,3
350,2
351,1
352,2
353,0
354,2
355,1
356,2
357,1
358,2
359,2
360,2
361,1
362,1
363,2
364,0
365,2
366,3
367,2
368,2
369,1
370,1
371,0
372,3
373,1
374,1
375,0
376,0
377,3
378,2
379,2
380,3
381,2
382,2
383,2
384,2
385,1
386,2
387,1
388,1
389,1
390,2
391,3
392,2
393,2
394,2
395,2
396,0
397,1
398,0
399,1
400,2
401,2
402,0
403,2
404,2
405,2
406,3
407,2
408,1
409,1
410,2
411,3
412,1
413,2
414,1
415,2
416,2
417,2
418,1
419,3
420,2
421,0
422,1
423,2
424,0
425,2
426,2
427,1
428,1
429,0
430,0
431,2
432,0
433,2
434,0
435,0
436,0
437,2
438,1
439,1
440,3
441,0
442,0
443,3
444,3
445,1
446,2
447,0
448,3
449,2
450,2
451,1
452,1
453,2
454,1
455,2
456,1
457,0
458,0
459,3
460,1
461,1
462,3
463,3
464,3
465,1
466,1
467,1
468,0
469,2
470,1
471,1
472,0
473,3
474,1
475,2
476,1
477,1
478,2
479,1
480,3
481,2
482,2
483,2
484,3
485,2
486,2
487,2
488,2
489,1
490,1
491,2
492,2
493,2
494,1
495,2
496,1
497,1
498,2
499,3
500,1
501,3
502,0
503,2
504,1
505,2
506,0
507,1
508,2
509,1
510,3
511,3
512,1
513,2
514,2
515,0
516,1
517,1
518,3
519,2
520,0
521,1
522,0
523,2
524,3
525,0
526,1
527,2
528,1
529,3
530,2
531,0
532,1
533,0
534,2
535,1
536,2
537,2
538,3
539,1
540,2
541,1
542,1
543,2
544,1
545,3
546,1
547,0
548,1
549,0
550,0
551,2
552,2
553,0
554,1
555,0
556,1
557,3
558,1
559,0
560,2
561,1
562,2
563,0
564,1
565,3
566,2
567,2
568,1
569,3
570,2
571,3
572,2
573,1
574,3
575,0
576,2
577,1
578,1
579,2
580,2
581,2
582,2
583,3
584,1
585,1
586,1
587,1
588,1
589,2
590,1
591,1
592,0
593,2
594,1
595,1
596,0
597,3
598,2
599,1
600,1
601,1
602,1
603,2
604,2
605,2
606,3
607,0
608,1
609,0
610,2
611,1
612,1
613,0
614,2
615,2
616,1
617,3
618,2
619,1
620,1
621,2
622,3
623,2
624,2
625,1
626,2
627,2
628,2
629,0
630,1
631,2
632,1
633,2
634,0
635,2
636,3
637,1
638,2
639,3
640,1
641,1
642,2
643,1
644,2
645,1
646,0
647,2
648,2
649,1
650,0
651,1
652,2
653,2
654,1
655,3
656,2
657,0
658,3
659,0
660,2
661,1
662,0
663,2
664,0
665,2
666,2
667,2
668,2
669,3
670,1
671,2
672,2
673,3
674,2
675,2
676,1
677,1
678,2
679,3
680,1
681,1
682,0
683,2
684,3
685,2
686,0
687,0
688,2
689,2
690,3
691,2
692,1
693,2
694,2
695,1
696,2
697,3
698,0
699,1
700,2
701,2
702,3
703,1
704,1
705,0
706,0
707,3
708,2
709,2
710,2
711,1
712,1
713,2
714,1
715,2
716,2
717,2
718,2
719,1
720,2
721,1
722,3
723,1
724,1
725,1
726,3
727,1
728,0
729,1
730,2
731,1
732,2
733,0
734,2
735,2
736,0
737,2
738,2
739,2
740,2
741,2
742,2
743,2
744,2
745,2
746,2
747,1
748,1
749,1
750,2
751,0
752,1
753,1
754,2
755,1
756,3
757,1
758,0
759,1
760,1
761,2
762,2
763,3
764,2
765,3
766,0
767,3
768,2
769,2
770,3
771,0
772,2
773,1
774,3
775,1
776,2
777,2
778,2
779,2
780,1
781,3
782,0
783,3
784,2
785,1
786,2
787,2
788,2
789,0
790,0
791,0
792,0
793,1
794,1
795,1
796,0
797,1
798,1
799,0
800,2
801,1
802,0
803,0
804,0
805,0
806,2
807,1
808,2
809,2
810,0
811,3
812,2
813,2
814,3
815,1
816,3
817,1
818,1
819,2
820,3
821,3
822,0
823,2
824,1
825,0
826,1
827,3
828,0
829,3
830,2
831,0
832,0
833,0
834,2
835,2
836,1
837,2
838,3
839,2
840,1
841,1
842,0
843,0
844,2
845,1
846,1
847,1
848,1
849,1
850,2
851,2
852,3
853,0
854,1
855,1
856,2
857,2
858,1
859,0
860,2
861,1
862,1
863,1
864,0
865,1
866,1
867,1
868,3
869,2
870,2
871,2
872,2
873,0
874,3
875,1
876,1
877,3
878,1
879,0
880,2
881,0
882,1
883,3
884,2
885,2
886,2
887,2
888,0
889,3
890,0
891,2
892,3
893,1
894,2
895,0
896,1
897,3
898,2
899,1
900,1
901,1
902,3
903,1
904,2
905,2
906,2
907,3
908,1
909,0
910,2
911,1
912,0
913,1
914,0
915,0
916,2
917,2
918,0
919,2
920,1
921,2
922,2
923,2
924,2
925,1
926,1
927,0
928,0
929,0
930,3
931,2
932,1
933,3
934,2
935,1
936,2
937,2
938,2
939,2
940,1
941,3
942,1
943,2
944,2
945,1
946,1
947,2
948,2
949,1
950,1
951,0
952,2
953,0
954,0
955,2
956,2
957,2
958,1
959,1
960,0
961,2
962,2
963,1
964,1
965,2
966,1
967,2
968,2
969,2
970,1
971,1
972,1
973,2
974,2
975,0
976,0
977,0
978,1
979,1
980,2
981,1
982,2
983,0
984,0
985,3
986,3
987,2
988,2
989,3
990,2
991,2
992,2
993,1
994,0
995,2
996,1
997,0
998,1
999,1
1000,2
1001,0
1002,2
1003,2
1004,2
1005,3
1006,2
1007,2
1008,0
1009,0
1010,2
1011,2
1012,1
1013,1
1014,1
1015,2
1016,1
1017,1
1018,2
1019,2
1020,1
1021,1
1022,1
1023,0
1024,1
1025,2
1026,1
1027,0
1028,1
1029,2
1030,3
1031,2
1032,3
1033,1
1034,1
1035,2
1036,2
1037,2
1038,1
1039,0
1040,0
1041,1
1042,2
1043,3
1044,1
1045,1
1046,0
1047,2
1048,2
1049,2
1050,1
1051,2
1052,3
1053,2
1054,2
1055,2
1056,1
1057,1
1058,3
1059,1
1060,1
1061,0
1062,2
1063,1
1064,2
1065,0
1066,2
1067,2
1068,3
1069,2
1070,1
1071,3
1072,3
1073,2
1074,2
1075,3
1076,2
1077,2
1078,3
1079,3
1080,1
1081,0
1082,2
1083,1
1084,1
1085,3
1086,0
1087,0
1088,3
1089,3
1090,0
1091,1
1092,0
1093,3
1094,1
1095,2
1096,3
1097,1
1098,3
1099,0
1100,1
1101,0
1102,0
1103,3
1104,2
1105,2
1106,2
1107,2
1108,1
1109,2
1110,2
1111,1
1112,3
1113,1
1114,1
1115,0
1116,0
1117,2
1118,2
1119,2
1120,2
1121,2
1122,2
1123,2
1124,3
1125,2
1126,2
1127,2
1128,1
1129,1
1130,0
1131,2
1132,3
1133,0
1134,2
1135,1
1136,1
1137,0
1138,1
1139,2
1140,1
1141,0
1142,0
1143,2
1144,1
1145,2
1146,3
1147,3
1148,1
1149,1
1150,0
1151,2
1152,2
1153,2
1154,0
1155,2
1156,1
1157,2
1158,2
